country,life_expectency,literacy_rate
Algeria,71,69.9
Angola,46,67.4
Benin,57,34.7
Botswana,61,81.2
Burkina Faso,51,21.8
Burundi,50,59.3
Cameroon,53,67.9
Cape Verde,71,76.6
Central African R.,48,48.6
Chad,46,25.7
Comoros,60,56.5
Congo,54,83.8
D.R. Congo,45,67.2
Côte d'Ivoire,56,48.7
Djibouti,59,67.9
Egypt,69,71.4
Equatorial Guinea,53,87
Eritrea,65,58.6
Ethiopia,58,42.7
Gabon,60,63.2
Gambia,59,40.1
Ghana,62,57.9
Guinea,54,29.5
Guinea-Bissau,49,42.4
Kenya,54,85.1
Lesotho,47,84.8
Liberia,54,57.5
Libya,73,82.6
Madagascar,60,68.9
Malawi,53,62.7
Mali,49,46.4
Mauritania,58,51.2
Mauritius,73,84.4
Morocco,72,52.3
Mozambique,51,47.8
Namibia,63,85
Niger,52,28.7
Nigeria,49,68
Rwanda,58,70.4
São Tomé & Príncipe,61,84.9
Senegal,59,39.3
Sierra Leone,49,35.1
Somalia,48,37.8
South Africa,53,86.4
Sudan,57,61.1
Swaziland,48,81.6
Tanzania,53,69.4
Togo,59,60.9
Tunisia,75,74.3
Uganda,52,66.8
Zambia,48,80.6
Zimbabwe,42,90.7