date,price
1950-01-01,34.73
1950-02-01,34.73
1950-03-01,34.73
1950-04-01,34.73
1950-05-01,34.73
1950-06-01,34.73
1950-07-01,34.73
1950-08-01,34.73
1950-09-01,34.73
1950-10-01,34.73
1950-11-01,34.73
1950-12-01,34.72
1951-01-01,34.72
1951-02-01,34.73
1951-03-01,34.73
1951-04-01,34.73
1951-05-01,34.73
1951-06-01,34.73
1951-07-01,34.72
1951-08-01,34.71
1951-09-01,34.71
1951-10-01,34.71
1951-11-01,34.73
1951-12-01,34.66
1952-01-01,34.49
1952-02-01,34.49
1952-03-01,34.68
1952-04-01,34.82
1952-05-01,34.73
1952-06-01,34.53
1952-07-01,34.57
1952-08-01,34.58
1952-09-01,34.51
1952-10-01,34.63
1952-11-01,34.72
1952-12-01,34.79
1953-01-01,34.88
1953-02-01,34.95
1953-03-01,34.92
1953-04-01,34.93
1953-05-01,34.90
1953-06-01,34.89
1953-07-01,34.91
1953-08-01,34.91
1953-09-01,34.76
1953-10-01,34.79
1953-11-01,34.86
1953-12-01,34.85
1954-01-01,34.86
1954-02-01,34.88
1954-03-01,34.92
1954-04-01,35.04
1954-05-01,35.08
1954-06-01,35.07
1954-07-01,35.08
1954-08-01,35.05
1954-09-01,35.08
1954-10-01,35.08
1954-11-01,35.06
1954-12-01,35.04
1955-01-01,35.04
1955-02-01,35.05
1955-03-01,35.06
1955-04-01,35.05
1955-05-01,35.05
1955-06-01,35.04
1955-07-01,35.05
1955-08-01,35.03
1955-09-01,34.98
1955-10-01,34.98
1955-11-01,34.98
1955-12-01,34.97
1956-01-01,34.99
1956-02-01,34.99
1956-03-01,34.99
1956-04-01,34.98
1956-05-01,34.99
1956-06-01,34.98
1956-07-01,35.00
1956-08-01,35.02
1956-09-01,35.01
1956-10-01,35.02
1956-11-01,34.98
1956-12-01,34.90
1957-01-01,34.88
1957-02-01,34.89
1957-03-01,34.91
1957-04-01,34.92
1957-05-01,34.93
1957-06-01,34.99
1957-07-01,34.99
1957-08-01,34.97
1957-09-01,34.96
1957-10-01,34.97
1957-11-01,34.97
1957-12-01,34.99
1958-01-01,35.01
1958-02-01,35.08
1958-03-01,35.09
1958-04-01,35.10
1958-05-01,35.11
1958-06-01,35.10
1958-07-01,35.11
1958-08-01,35.10
1958-09-01,35.10
1958-10-01,35.11
1958-11-01,35.10
1958-12-01,35.09
1959-01-01,35.07
1959-02-01,35.06
1959-03-01,35.06
1959-04-01,35.08
1959-05-01,35.12
1959-06-01,35.12
1959-07-01,35.13
1959-08-01,35.12
1959-09-01,35.13
1959-10-01,35.10
1959-11-01,35.06
1959-12-01,35.05
1960-01-01,35.09
1960-02-01,35.09
1960-03-01,35.09
1960-04-01,35.11
1960-05-01,35.10
1960-06-01,35.09
1960-07-01,35.10
1960-08-01,35.13
1960-09-01,35.22
1960-10-01,35.78
1960-11-01,35.82
1960-12-01,35.54
1961-01-01,35.56
1961-02-01,35.17
1961-03-01,35.08
1961-04-01,35.08
1961-05-01,35.06
1961-06-01,35.07
1961-07-01,35.11
1961-08-01,35.16
1961-09-01,35.19
1961-10-01,35.19
1961-11-01,35.19
1961-12-01,35.15
1962-01-01,35.16
1962-02-01,35.13
1962-03-01,35.09
1962-04-01,35.08
1962-05-01,35.08
1962-06-01,35.10
1962-07-01,35.12
1962-08-01,35.12
1962-09-01,35.13
1962-10-01,35.14
1962-11-01,35.09
1962-12-01,35.08
1963-01-01,35.06
1963-02-01,35.08
1963-03-01,35.10
1963-04-01,35.10
1963-05-01,35.08
1963-06-01,35.08
1963-07-01,35.09
1963-08-01,35.10
1963-09-01,35.08
1963-10-01,35.08
1963-11-01,35.08
1963-12-01,35.08
1964-01-01,35.08
1964-02-01,35.08
1964-03-01,35.08
1964-04-01,35.08
1964-05-01,35.08
1964-06-01,35.08
1964-07-01,35.08
1964-08-01,35.08
1964-09-01,35.09
1964-10-01,35.11
1964-11-01,35.10
1964-12-01,35.12
1965-01-01,35.13
1965-02-01,35.14
1965-03-01,35.16
1965-04-01,35.14
1965-05-01,35.10
1965-06-01,35.10
1965-07-01,35.12
1965-08-01,35.15
1965-09-01,35.14
1965-10-01,35.11
1965-11-01,35.11
1965-12-01,35.13
1966-01-01,35.15
1966-02-01,35.17
1966-03-01,35.15
1966-04-01,35.13
1966-05-01,35.12
1966-06-01,35.15
1966-07-01,35.18
1966-08-01,35.18
1966-09-01,35.19
1966-10-01,35.16
1966-11-01,35.16
1966-12-01,35.18
1967-01-01,35.18
1967-02-01,35.17
1967-03-01,35.16
1967-04-01,35.17
1967-05-01,35.18
1967-06-01,35.19
1967-07-01,35.19
1967-08-01,35.19
1967-09-01,35.19
1967-10-01,35.19
1967-11-01,35.20
1967-12-01,35.19
1968-01-01,35.18
1968-02-01,35.20
1968-03-01,35.20
1968-04-01,37.878
1968-05-01,40.691
1968-06-01,41.111
1968-07-01,39.530
1968-08-01,39.170
1968-09-01,40.203
1968-10-01,39.210
1968-11-01,39.795
1968-12-01,41.113
1969-01-01,42.291
1969-02-01,42.616
1969-03-01,43.171
1969-04-01,43.295
1969-05-01,43.461
1969-06-01,41.442
1969-07-01,41.755
1969-08-01,41.128
1969-09-01,40.865
1969-10-01,40.476
1969-11-01,37.452
1969-12-01,35.189
1970-01-01,34.946
1970-02-01,34.994
1970-03-01,35.089
1970-04-01,35.623
1970-05-01,35.958
1970-06-01,35.437
1970-07-01,35.329
1970-08-01,35.377
1970-09-01,36.196
1970-10-01,37.553
1970-11-01,37.455
1970-12-01,37.434
1971-01-01,37.868
1971-02-01,38.716
1971-03-01,38.873
1971-04-01,39.001
1971-05-01,40.493
1971-06-01,40.105
1971-07-01,40.929
1971-08-01,42.722
1971-09-01,41.976
1971-10-01,42.473
1971-11-01,42.842
1971-12-01,43.455
1972-01-01,45.640
1972-02-01,48.237
1972-03-01,48.288
1972-04-01,49.026
1972-05-01,54.500
1972-06-01,62.170
1972-07-01,65.558
1972-08-01,66.917
1972-09-01,65.589
1972-10-01,64.824
1972-11-01,62.726
1972-12-01,63.779
1973-01-01,65.127
1973-02-01,73.971
1973-03-01,84.105
1973-04-01,90.441
1973-05-01,101.623
1973-06-01,119.800
1973-07-01,120.364
1973-08-01,106.225
1973-09-01,103.034
1973-10-01,99.923
1973-11-01,94.645
1973-12-01,106.236
1974-01-01,129.027
1974-02-01,150.000
1974-03-01,168.298
1974-04-01,172.243
1974-05-01,163.568
1974-06-01,154.013
1974-07-01,142.283
1974-08-01,154.362
1974-09-01,151.660
1974-10-01,158.533
1974-11-01,181.483
1974-12-01,183.683
1975-01-01,176.864
1975-02-01,179.553
1975-03-01,178.203
1975-04-01,170.066
1975-05-01,167.293
1975-06-01,164.250
1975-07-01,164.867
1975-08-01,163.168
1975-09-01,144.311
1975-10-01,142.691
1975-11-01,142.565
1975-12-01,139.279
1976-01-01,131.695
1976-02-01,130.940
1976-03-01,132.676
1976-04-01,127.910
1976-05-01,126.913
1976-06-01,125.684
1976-07-01,117.866
1976-08-01,110.055
1976-09-01,114.098
1976-10-01,116.095
1976-11-01,130.341
1976-12-01,133.674
1977-01-01,132.306
1977-02-01,136.163
1977-03-01,148.339
1977-04-01,149.184
1977-05-01,146.536
1977-06-01,140.828
1977-07-01,143.383
1977-08-01,145.009
1977-09-01,149.334
1977-10-01,158.848
1977-11-01,162.132
1977-12-01,160.480
1978-01-01,173.207
1978-02-01,178.360
1978-03-01,183.771
1978-04-01,175.323
1978-05-01,176.190
1978-06-01,183.761
1978-07-01,188.569
1978-08-01,206.455
1978-09-01,212.212
1978-10-01,227.432
1978-11-01,207.082
1978-12-01,207.895
1979-01-01,226.986
1979-02-01,245.590
1979-03-01,242.348
1979-04-01,239.174
1979-05-01,257.738
1979-06-01,279.360
1979-07-01,295.009
1979-08-01,300.793
1979-09-01,354.498
1979-10-01,390.959
1979-11-01,391.518
1979-12-01,463.666
1980-01-01,674.580
1980-02-01,665.893
1980-03-01,554.276
1980-04-01,516.710
1980-05-01,514.268
1980-06-01,600.786
1980-07-01,645.750
1980-08-01,626.360
1980-09-01,673.941
1980-10-01,662.270
1980-11-01,623.875
1980-12-01,596.712
1981-01-01,557.813
1981-02-01,500.800
1981-03-01,499.693
1981-04-01,496.625
1981-05-01,480.316
1981-06-01,460.500
1981-07-01,409.284
1981-08-01,410.240
1981-09-01,443.773
1981-10-01,437.680
1981-11-01,413.405
1981-12-01,410.119
1982-01-01,384.163
1982-02-01,374.458
1982-03-01,330.413
1982-04-01,350.335
1982-05-01,334.505
1982-06-01,314.961
1982-07-01,337.895
1982-08-01,363.413
1982-09-01,438.150
1982-10-01,422.786
1982-11-01,415.114
1982-12-01,444.776
1983-01-01,481.838
1983-02-01,493.488
1983-03-01,420.707
1983-04-01,433.171
1983-05-01,437.393
1983-06-01,413.148
1983-07-01,422.645
1983-08-01,416.205
1983-09-01,412.245
1983-10-01,394.245
1983-11-01,381.016
1983-12-01,388.060
1984-01-01,370.735
1984-02-01,386.038
1984-03-01,394.743
1984-04-01,381.371
1984-05-01,376.957
1984-06-01,378.314
1984-07-01,347.598
1984-08-01,347.677
1984-09-01,340.945
1984-10-01,340.217
1984-11-01,341.286
1984-12-01,319.622
1985-01-01,302.852
1985-02-01,299.833
1985-03-01,303.205
1985-04-01,324.883
1985-05-01,316.395
1985-06-01,316.298
1985-07-01,317.202
1985-08-01,330.131
1985-09-01,323.764
1985-10-01,326.093
1985-11-01,325.548
1985-12-01,321.985
1986-01-01,345.561
1986-02-01,339.053
1986-03-01,346.095
1986-04-01,340.716
1986-05-01,342.325
1986-06-01,342.798
1986-07-01,348.554
1986-08-01,376.290
1986-09-01,418.152
1986-10-01,423.863
1986-11-01,396.983
1986-12-01,391.595
1987-01-01,408.524
1987-02-01,401.045
1987-03-01,408.848
1987-04-01,439.665
1987-05-01,461.650
1987-06-01,449.282
1987-07-01,450.330
1987-08-01,460.988
1987-09-01,460.120
1987-10-01,465.764
1987-11-01,468.140
1987-12-01,487.079
1988-01-01,477.758
1988-02-01,442.124
1988-03-01,443.491
1988-04-01,451.558
1988-05-01,451.320
1988-06-01,451.657
1988-07-01,437.452
1988-08-01,431.064
1988-09-01,413.439
1988-10-01,406.390
1988-11-01,419.966
1988-12-01,419.248
1989-01-01,404.445
1989-02-01,387.973
1989-03-01,390.274
1989-04-01,384.720
1989-05-01,371.350
1989-06-01,367.727
1989-07-01,375.210
1989-08-01,365.548
1989-09-01,361.798
1989-10-01,366.800
1989-11-01,394.361
1989-12-01,409.655
1990-01-01,410.118
1990-02-01,416.543
1990-03-01,393.661
1990-04-01,374.929
1990-05-01,368.855
1990-06-01,352.657
1990-07-01,361.820
1990-08-01,394.861
1990-09-01,389.560
1990-10-01,381.333
1990-11-01,381.866
1990-12-01,378.161
1991-01-01,384.591
1991-02-01,363.748
1991-03-01,363.390
1991-04-01,358.055
1991-05-01,357.117
1991-06-01,366.360
1991-07-01,368.013
1991-08-01,356.721
1991-09-01,348.460
1991-10-01,358.826
1991-11-01,359.960
1991-12-01,361.875
1992-01-01,354.436
1992-02-01,353.853
1992-03-01,344.641
1992-04-01,338.728
1992-05-01,337.039
1992-06-01,340.784
1992-07-01,352.452
1992-08-01,343.603
1992-09-01,345.300
1992-10-01,344.277
1992-11-01,334.924
1992-12-01,334.657
1993-01-01,328.993
1993-02-01,329.310
1993-03-01,329.974
1993-04-01,341.948
1993-05-01,367.045
1993-06-01,371.914
1993-07-01,392.034
1993-08-01,379.795
1993-09-01,355.561
1993-10-01,364.005
1993-11-01,373.939
1993-12-01,383.243
1994-01-01,387.110
1994-02-01,381.658
1994-03-01,384.000
1994-04-01,377.908
1994-05-01,381.343
1994-06-01,385.714
1994-07-01,385.450
1994-08-01,380.207
1994-09-01,391.348
1994-10-01,390.164
1994-11-01,384.377
1994-12-01,379.480
1995-01-01,378.738
1995-02-01,376.745
1995-03-01,381.820
1995-04-01,391.339
1995-05-01,385.231
1995-06-01,387.618
1995-07-01,386.138
1995-08-01,383.502
1995-09-01,382.931
1995-10-01,383.202
1995-11-01,385.209
1995-12-01,387.445
1996-01-01,398.695
1996-02-01,404.919
1996-03-01,396.512
1996-04-01,392.870
1996-05-01,391.990
1996-06-01,385.245
1996-07-01,383.457
1996-08-01,387.510
1996-09-01,383.290
1996-10-01,380.909
1996-11-01,377.869
1996-12-01,369.338
1997-01-01,355.025
1997-02-01,346.400
1997-03-01,352.311
1997-04-01,344.707
1997-05-01,344.100
1997-06-01,340.805
1997-07-01,323.780
1997-08-01,323.998
1997-09-01,322.616
1997-10-01,324.863
1997-11-01,306.345
1997-12-01,288.776
1998-01-01,289.264
1998-02-01,297.743
1998-03-01,295.870
1998-04-01,308.558
1998-05-01,298.971
1998-06-01,292.223
1998-07-01,292.874
1998-08-01,284.228
1998-09-01,288.661
1998-10-01,296.595
1998-11-01,294.243
1998-12-01,291.357
1999-01-01,287.333
1999-02-01,287.495
1999-03-01,286.243
1999-04-01,282.620
1999-05-01,276.932
1999-06-01,261.402
1999-07-01,256.198
1999-08-01,256.936
1999-09-01,264.470
1999-10-01,311.562
1999-11-01,293.650
1999-12-01,283.743
2000-01-01,284.590
2000-02-01,300.855
2000-03-01,286.704
2000-04-01,279.961
2000-05-01,275.293
2000-06-01,285.368
2000-07-01,282.152
2000-08-01,274.523
2000-09-01,273.676
2000-10-01,270.405
2000-11-01,265.989
2000-12-01,271.892
2001-01-01,265.934
2001-02-01,262.018
2001-03-01,263.273
2001-04-01,260.750
2001-05-01,272.057
2001-06-01,270.738
2001-07-01,267.707
2001-08-01,272.657
2001-09-01,282.478
2001-10-01,283.322
2001-11-01,276.248
2001-12-01,275.992
2002-01-01,281.764
2002-02-01,295.683
2002-03-01,294.353
2002-04-01,302.862
2002-05-01,314.480
2002-06-01,321.536
2002-07-01,313.567
2002-08-01,310.045
2002-09-01,318.800
2002-10-01,316.748
2002-11-01,319.255
2002-12-01,333.300
2003-01-01,356.864
2003-02-01,359.575
2003-03-01,341.564
2003-04-01,328.208
2003-05-01,355.405
2003-06-01,356.912
2003-07-01,350.765
2003-08-01,358.993
2003-09-01,378.859
2003-10-01,379.093
2003-11-01,390.200
2003-12-01,407.674
2004-01-01,414.495
2004-02-01,404.730
2004-03-01,405.976
2004-04-01,404.850
2004-05-01,383.953
2004-06-01,391.780
2004-07-01,398.441
2004-08-01,400.133
2004-09-01,405.402
2004-10-01,420.210
2004-11-01,439.059
2004-12-01,442.974
2005-01-01,424.080
2005-02-01,423.430
2005-03-01,434.355
2005-04-01,429.140
2005-05-01,422.903
2005-06-01,430.302
2005-07-01,424.745
2005-08-01,437.773
2005-09-01,455.936
2005-10-01,470.107
2005-11-01,476.668
2005-12-01,509.423
2006-01-01,549.433
2006-02-01,555.518
2006-03-01,557.215
2006-04-01,611.853
2006-05-01,676.769
2006-06-01,597.898
2006-07-01,633.093
2006-08-01,631.557
2006-09-01,600.150
2006-10-01,586.648
2006-11-01,626.825
2006-12-01,629.513
2007-01-01,630.352
2007-02-01,665.103
2007-03-01,655.891
2007-04-01,680.008
2007-05-01,668.310
2007-06-01,655.714
2007-07-01,665.266
2007-08-01,664.530
2007-09-01,710.645
2007-10-01,754.480
2007-11-01,808.311
2007-12-01,803.618
2008-01-01,887.784
2008-02-01,924.283
2008-03-01,971.055
2008-04-01,911.600
2008-05-01,889.125
2008-06-01,889.536
2008-07-01,941.167
2008-08-01,840.388
2008-09-01,824.920
2008-10-01,812.815
2008-11-01,757.850
2008-12-01,819.940
2009-01-01,857.726
2009-02-01,939.763
2009-03-01,925.989
2009-04-01,892.663
2009-05-01,926.855
2009-06-01,947.807
2009-07-01,934.272
2009-08-01,949.500
2009-09-01,996.443
2009-10-01,1043.511
2009-11-01,1126.119
2009-12-01,1135.012
2010-01-01,1119.575
2010-02-01,1095.800
2010-03-01,1115.554
2010-04-01,1148.475
2010-05-01,1204.321
2010-06-01,1232.382
2010-07-01,1196.000
2010-08-01,1213.464
2010-09-01,1271.461
2010-10-01,1343.190
2010-11-01,1371.784
2010-12-01,1393.512
2011-01-01,1360.475
2011-02-01,1371.313
2011-03-01,1422.848
2011-04-01,1474.431
2011-05-01,1512.188
2011-06-01,1528.380
2011-07-01,1568.526
2011-08-01,1759.500
2011-09-01,1780.648
2011-10-01,1667.893
2011-11-01,1735.977
2011-12-01,1652.725
2012-01-01,1656.095
2012-02-01,1743.095
2012-03-01,1675.057
2012-04-01,1648.539
